label,timestamp,duration,pkg,dram,socket
delta,1722420003.7118447,37813.818,5088244.0,851888.0,0
delta,1722420003.9812758,35541.223,4827564.0,798109.0,0
delta,1722420004.247022,35334.324,4790393.0,792172.0,0
delta,1722420004.5312893,38494.501,5236864.0,870417.0,0
delta,1722420004.821061,37812.143,5149584.0,858254.0,0
delta,1722420005.0888138,35381.64,4788989.0,788241.0,0
delta,1722420005.3589275,35686.566,4893481.0,810043.0,0
delta,1722420005.6445441,40362.072,5452683.0,881479.0,0
delta,1722420005.9171624,36093.897,4991076.0,810839.0,0
delta,1722420006.1852684,36827.451,5055224.0,821442.0,0
delta,1722420006.4539018,35625.139,5096789.0,811986.0,0
delta,1722420006.719686,35499.697,4994922.0,804596.0,0
delta,1722420006.9868507,39713.585,5427110.0,882091.0,0
delta,1722420007.2610393,35884.629,5034777.0,803587.0,0
delta,1722420007.54169,35789.844,5074511.0,816591.0,0
delta,1722420007.8142707,34617.671,4947070.0,795462.0,0
delta,1722420008.0821717,38108.845,5237901.0,825711.0,0
delta,1722420008.3693597,36134.034,5132189.0,812904.0,0
delta,1722420008.6374729,35222.67,4980822.0,796074.0,0
delta,1722420008.9105563,37977.381,4956286.0,834997.0,0
delta,1722420009.1844077,36916.673,5000415.0,830606.0,0
delta,1722420009.4556127,35328.635,4925097.0,805728.0,0
delta,1722420009.769195,35535.278,4930957.0,823920.0,0
delta,1722420010.0348864,35320.904,4871508.0,803816.0,0
delta,1722420010.3015466,35937.33,4911609.0,810166.0,0
delta,1722420010.569846,37286.919,5243212.0,843107.0,0
delta,1722420010.8408892,36722.183,5044237.0,837079.0,0
delta,1722420011.1301997,36335.942,5072802.0,835120.0,0
delta,1722420011.3998225,34844.764,4941699.0,800389.0,0
delta,1722420011.6653886,34790.576,4814319.0,783008.0,0
delta,1722420011.9296317,32862.596,4626880.0,758283.0,0
delta,1722420012.1967597,35566.687,4940539.0,809553.0,0
delta,1722420012.4646332,34960.8,4893848.0,791117.0,0
delta,1722420012.7456884,40394.491,5433762.0,881066.0,0
delta,1722420013.0370977,34835.806,4904040.0,787797.0,0
delta,1722420013.3173358,40669.198,5516343.0,871412.0,0
delta,1722420013.588122,36050.588,5110033.0,808574.0,0
delta,1722420013.889514,38376.054,5346727.0,848844.0,0
delta,1722420014.163665,35386.438,4957262.0,791500.0,0
delta,1722420014.4461584,36518.942,5056384.0,822605.0,0
delta,1722420014.719033,35843.288,5075304.0,819162.0,0
delta,1722420015.0059721,43434.083,6022995.0,994377.0,0
delta,1722420015.311715,37331.995,5175463.0,850466.0,0
